timestamp,node,cpu_pct,pods,
1780892111.7684798,node-0,31.4,"{worker-03e48744252ef722-5799ccb989-84jpv"": 0.18","[' ""worker-96149d3ed4f00afb-7764469b77-f7pvf"": 0.18', ' ""worker-682c50b946b6efb6-6cc4c9965f-xggln"": 0.23', ' ""worker-a69fc53dccda5042-7d4bfdd6c6-g2lbs"": 0.15', ' ""worker-21e3d223c039daac-5cdb5b6c7f-h4dsk"": 0.19}""']"
1780892112.579234,node-2,1.6,"{worker-3e325e5d1375e6a6-8487599786-46khj"": 0.21","[' ""worker-18ed3ca44bd1f7d4-54b87969ff-n5498"": 0.19', ' ""worker-d929e795459178fd-7bb6489664-c5fk5"": 0.17', ' ""node-metrics-collector-gsrn8"": 15.73', ' ""kubernetes-dashboard-798b84547b-z6qg6"": 1.15}""']"
1780892112.6821392,node-1,1.9,"{kube-proxy-5mfnl"": 0.14","[' ""worker-7958f89676bf3653-6b5bcd47bf-2fq6x"": 0.12', ' ""coredns-69db55dd76-rnr4c"": 1.86', ' ""node-metrics-collector-l78rp"": 17.61}""']"
1780892112.8872077,node-0,31.7,"{kube-proxy-xhdb4"": 0.11","[' ""worker-7fa05b607ae861b8-55cdc95c6b-rpwhn"": 10405.1', ' ""worker-a4a3c0390fad6c1a-6f5fd46dc9-wxtvh"": 0.17}""']"
1780892113.6968477,node-2,2.5,"{worker-458c67821d1d6a60-6fc949cdd8-2ncsn"": 0.2","[' ""worker-a83894b2184e57e7-77d48698c9-wzjsb"": 0.21', ' ""kube-proxy-vps9q"": 0.39', ' ""worker-dfcd50e431bff00c-67747d878b-4r22t"": 0.29}""']"
1780892113.7925963,node-1,1.7,{},
1780892114.006756,node-0,31.1,{},
1780892114.8056107,node-2,1.7,"{worker-c79aae5f316a650e-68d7565ddb-vhtf5"": 0.12","[' ""worker-8edcb2c8634528c6-78cdb47bf8-wfbfk"": 0.22', ' ""worker-06da275043bac552-794f85d7f6-8k6wp"": 0.15', ' ""worker-d27353c8ad7c924a-588dcf95d8-2gbm7"": 0.12}""']"
1780892114.9034698,node-1,1.7,"{worker-f0fa62feeb880620-6f5ccf85d4-nhj65"": 0.18}""",
1780892115.1086009,node-0,31.4,"{worker-8d13ca6c1e7b4541-64dfd6b499-rm6nt"": 0.17","[' ""worker-70b9cea7ca266637-5b6b9c5c87-scw6v"": 0.12}""']"
1780892115.9181561,node-2,1.6,"{worker-ca4fde7aa358b20b-59d59c8db6-6mj8z"": 0.11","[' ""worker-9417b97516aa524c-76d5d655bf-clsjl"": 0.27', ' ""worker-7e425fa87bc12971-fcfd4f7b-p248r"": 0.13', ' ""worker-f274d71de386ccc7-68c7455f75-vtgk4"": 0.15', ' ""worker-abee572c88a5173c-6c446c4654-lrmm5"": 0.11', ' ""worker-bc7554e7f013bbc9-5df44489b4-zt4d5"": 0.26', ' ""worker-734272c01926d196-dfd9f9f44-45k6q"": 0.22}""']"
1780892116.016515,node-1,2.2,"{worker-c8c43e1a911f29e5-56ccf5c49-z7jjb"": 0.16","[' ""worker-530c944fe7e078ff-66df7d9b9c-qmzfx"": 0.17', ' ""worker-68d84244f6a3c212-6f4ffb97f9-czjf6"": 0.11}""']"
1780892116.231465,node-0,32.2,"{worker-f7bfe5bc8d2a37a5-867f9c5dc4-kndms"": 0.11}""",
1780892117.0330336,node-2,1.9,"{worker-a25e2d58c503c1a3-6b7dcf657c-26pjr"": 0.21}""",
1780892117.127491,node-1,2.9,"{worker-80ba614b065a6836-65dfb8499b-fxsgr"": 0.12","[' ""worker-71fab9125e9dc96c-6f5bd7bbd6-xrjwb"": 0.13', ' ""worker-8d5a5cbc5dcaf950-795dbc5877-mzzs6"": 0.21', ' ""worker-bb0034ea3bcbe045-5fb785466b-994m7"": 0.28', ' ""worker-046b5f12d0ed300f-cbbd44969-6f4sg"": 0.18}""']"
1780892117.3413692,node-0,31.6,"{worker-d399b29c39aafde6-5b9cd56bc-t9265"": 0.13","[' ""worker-3029b453646555d8-ff967d94d-ms28l"": 0.12', ' ""worker-e6c7bb410627e9eb-64d9bd9f5c-dhsr4"": 0.11', ' ""worker-c864b7cf40f389cb-98f545bf-p4947"": 0.18', ' ""worker-b1034a4b389601e0-6cf5956dcd-z7jxp"": 0.23', ' ""calico-node-wj9s8"": 35.86}""']"
1780892118.148193,node-2,1.3,"{worker-4dd59aea96ab30b4-858f47b88b-g4qc8"": 0.25}""",
1780892118.2435372,node-1,1.6,"{worker-220343d206dfebda-678b78775-dq6xl"": 0.19","[' ""worker-b5450811f2226912-7997468867-pxf7x"": 0.18', ' ""kube-scheduler-node-1"": 2.23}""']"
1780892118.4575977,node-0,31.2,"{worker-db6be4a997f386b3-6f7bd4fcfd-ksxtz"": 0.18","[' ""worker-1661c8faccd5c7ce-659c56686-7b6mr"": 0.19', ' ""worker-60bb8c2ce1c44989-585f5f8f8d-c9xnq"": 0.22', ' ""metrics-server-574d47cd58-k5qp5"": 4.08}""']"
1780892119.264722,node-2,1.1,"{worker-6e42a4e8ea1df408-79c6fcc7d-phpkj"": 0.23","[' ""worker-bbc455780b7161c4-6b5dd776c4-2grmg"": 0.27', ' ""worker-97b9300c3b009d6e-7d6fcf4874-ctcr9"": 0.22', ' ""nginx-proxy-node-2"": 0.17}""']"
1780892119.3567643,node-1,1.2,"{worker-c6899d1b80112b58-6658557c5d-q6mc9"": 0.26","[' ""worker-5a214e8e45500489-5cfb9f7d4c-fkp56"": 0.26', ' ""worker-64f056310269572d-cbb9b79c9-bvfrg"": 0.22', ' ""worker-cebc121403bf0d9d-66f8684bfb-gd6ms"": 0.18}""']"
1780892119.5782192,node-0,32.1,"{worker-7b2c43a2bc30f6bb-75855b864c-ctdq4"": 0.24","[' ""orchestrator-d57c497c-mdhww"": 0.02', ' ""worker-0aab83a24e916a30-6dd95c7584-gqlcb"": 0.22', ' ""worker-73e9cf25a1a3b312-5c79df49b9-598r5"": 0.18', ' ""worker-1c4353c2703fb166-d4f59b798-75mws"": 0.12}""']"
