timestamp,node,cpu_pct,mem_used_mb,mem_total_mb,mem_pct,load1,load5,load15
1780303876.3867717,node-0,0.62,3595.7,257840.9,1.4,0.407,0.752,0.686
1780303877.0240018,node-1,0.42,3805.7,257840.9,1.5,0.548,5.78,7.264
1780303877.2434113,node-2,0.23,3305.0,257840.9,1.3,0.502,2.833,3.036
1780303877.3891122,node-0,0.3,3595.4,257840.9,1.4,0.407,0.752,0.686
1780303878.0264776,node-1,1.02,3804.9,257840.9,1.5,0.548,5.78,7.264
1780303878.2455337,node-2,0.42,3326.4,257840.9,1.3,0.502,2.833,3.036
1780303878.391349,node-0,0.22,3594.3,257840.9,1.4,0.407,0.752,0.686
1780303879.0279968,node-1,0.45,3804.4,257840.9,1.5,0.548,5.78,7.264
1780303879.2477572,node-2,0.57,3316.2,257840.9,1.3,0.502,2.833,3.036
1780303879.3933816,node-0,0.47,3593.8,257840.9,1.4,0.407,0.752,0.686
1780303880.0301619,node-1,0.37,3803.6,257840.9,1.5,0.584,5.7,7.23
1780303880.2509918,node-2,0.17,3316.4,257840.9,1.3,0.461,2.786,3.02
1780303880.3953075,node-0,0.65,3602.8,257840.9,1.4,0.455,0.757,0.688
1780303881.0319667,node-1,0.65,3795.7,257840.9,1.5,0.584,5.7,7.23
1780303881.253226,node-2,0.62,3315.4,257840.9,1.3,0.461,2.786,3.02
1780303881.3977306,node-0,0.42,3594.8,257840.9,1.4,0.455,0.757,0.688
1780303882.0343616,node-1,0.77,3792.9,257840.9,1.5,0.584,5.7,7.23
1780303882.2554743,node-2,0.17,3316.3,257840.9,1.3,0.461,2.786,3.02
1780303882.4000816,node-0,0.3,3594.5,257840.9,1.4,0.455,0.757,0.688
1780303883.0359848,node-1,0.47,3792.9,257840.9,1.5,0.584,5.7,7.23
1780303883.257706,node-2,0.8,3320.3,257840.9,1.3,0.461,2.786,3.02
1780303883.4022193,node-0,0.17,3594.0,257840.9,1.4,0.455,0.757,0.688
1780303884.0383434,node-1,0.32,3791.4,257840.9,1.5,0.584,5.7,7.23
1780303884.2601104,node-2,0.33,3321.1,257840.9,1.3,0.461,2.786,3.02
1780303884.4043648,node-0,0.35,3592.9,257840.9,1.4,0.455,0.757,0.688
1780303885.0399992,node-1,0.59,3791.0,257840.9,1.5,0.618,5.622,7.196
1780303885.2624419,node-2,0.23,3320.3,257840.9,1.3,0.424,2.74,3.003
